,strain,pool
19657,leaf_19324,validation
19658,leaf_8291,validation
19659,leaf_19264,validation
19660,leaf_17447,validation
19661,leaf_1218,validation
19662,leaf_17830,validation
19663,leaf_18768,validation
19664,leaf_18290,validation
19665,leaf_18068,validation
19666,leaf_15057,validation
19667,leaf_16323,validation
19668,leaf_15145,validation
19669,leaf_6589,validation
19670,leaf_7726,validation
19671,leaf_20034,validation
19672,leaf_1104,validation
19673,leaf_3540,validation
19674,leaf_19961,validation
19675,leaf_10223,validation
19676,leaf_541,validation
19677,leaf_12407,validation
19678,leaf_10293,validation
19679,leaf_12527,validation
19680,leaf_146,validation
19681,leaf_8078,validation
19682,leaf_10583,validation
19683,leaf_19244,validation
19684,leaf_7893,validation
19685,leaf_10768,validation
19686,leaf_6675,validation
19687,leaf_7657,validation
19688,leaf_14748,validation
19689,leaf_2010,validation
19690,leaf_3017,validation
19691,leaf_20549,validation
19692,leaf_10822,validation
19693,leaf_7146,validation
19694,leaf_17726,validation
19695,leaf_7121,validation
19696,leaf_18853,validation
19697,leaf_1298,validation
19698,leaf_16821,validation
19699,leaf_19316,validation
19700,leaf_22038,validation
19701,leaf_9025,validation
19702,leaf_6998,validation
19703,leaf_16879,validation
19704,leaf_1969,validation
19705,leaf_15477,validation
19706,leaf_1297,validation
19707,leaf_9877,validation
19708,leaf_764,validation
19709,leaf_6916,validation
19710,leaf_18185,validation
19711,leaf_4256,validation
19712,leaf_20419,validation
19713,leaf_5415,validation
19714,leaf_17189,validation
19715,leaf_5906,validation
19716,leaf_9668,validation
19717,leaf_18534,validation
19718,leaf_13044,validation
19719,leaf_3581,validation
19720,leaf_8091,validation
19721,leaf_972,validation
19722,leaf_6391,validation
19723,leaf_1389,validation
19724,leaf_3943,validation
19725,leaf_18249,validation
19726,leaf_20494,validation
19727,leaf_16184,validation
19728,leaf_8229,validation
19729,leaf_20664,validation
19730,leaf_316,validation
19731,leaf_18892,validation
19732,leaf_18413,validation
19733,leaf_2307,validation
19734,leaf_4769,validation
19735,leaf_3986,validation
19736,leaf_19932,validation
19737,leaf_12350,validation
19738,leaf_21447,validation
19739,leaf_1162,validation
19740,leaf_6523,validation
19741,leaf_3061,validation
19742,leaf_13452,validation
19743,leaf_16414,validation
19744,leaf_12591,validation
19745,leaf_19760,validation
19746,leaf_21212,validation
19747,leaf_16884,validation
19748,leaf_19586,validation
19749,leaf_12519,validation
19750,leaf_21580,validation
19751,leaf_20337,validation
19752,leaf_14666,validation
19753,leaf_12207,validation
19754,leaf_15137,validation
19755,leaf_6121,validation
19756,leaf_8067,validation
19757,leaf_14275,validation
19758,leaf_3360,validation
19759,leaf_19680,validation
19760,leaf_10255,validation
19761,leaf_21393,validation
19762,leaf_1169,validation
19763,leaf_14774,validation
19764,leaf_14578,validation
19765,leaf_13842,validation
19766,leaf_6414,validation
19767,leaf_8976,validation
19768,leaf_11618,validation
19769,leaf_7023,validation
19770,leaf_17625,validation
19771,leaf_327,validation
19772,leaf_265,validation
19773,leaf_5865,validation
19774,leaf_18123,validation
19775,leaf_8898,validation
19776,leaf_14633,validation
19777,leaf_14891,validation
19778,leaf_3740,validation
19779,leaf_1318,validation
19780,leaf_8918,validation
19781,leaf_6,validation
19782,leaf_19312,validation
19783,leaf_13395,validation
19784,leaf_16568,validation
19785,leaf_10064,validation
19786,leaf_14261,validation
19787,leaf_2943,validation
19788,leaf_13717,validation
19789,leaf_17872,validation
19790,leaf_4681,validation
19791,leaf_16973,validation
19792,leaf_6485,validation
19793,leaf_1107,validation
19794,leaf_1555,validation
19795,leaf_18557,validation
19796,leaf_16560,validation
19797,leaf_22444,validation
19798,leaf_12122,validation
19799,leaf_11167,validation
19800,leaf_16237,validation
19801,leaf_20253,validation
19802,leaf_4617,validation
19803,leaf_13782,validation
19804,leaf_136,validation
19805,leaf_2773,validation
19806,leaf_4782,validation
19807,leaf_13796,validation
19808,leaf_1996,validation
19809,leaf_20106,validation
19810,leaf_14609,validation
19811,leaf_6432,validation
19812,leaf_11442,validation
19813,leaf_16188,validation
19814,leaf_21174,validation
19815,leaf_738,validation
19816,leaf_16641,validation
19817,leaf_13217,validation
19818,leaf_8524,validation
19819,leaf_6324,validation
19820,leaf_7096,validation
19821,leaf_1105,validation
19822,leaf_19286,validation
19823,leaf_13540,validation
19824,leaf_868,validation
19825,leaf_6926,validation
19826,leaf_19295,validation
19827,leaf_14108,validation
19828,leaf_16114,validation
19829,leaf_19294,validation
19830,leaf_18686,validation
19831,leaf_13832,validation
19832,leaf_15169,validation
19833,leaf_4150,validation
19834,leaf_21628,validation
19835,leaf_11737,validation
19836,leaf_20817,validation
19837,leaf_18568,validation
19838,leaf_10514,validation
19839,leaf_3095,validation
19840,leaf_20381,validation
19841,leaf_20346,validation
19842,leaf_9043,validation
19843,leaf_9674,validation
19844,leaf_1488,validation
19845,leaf_16901,validation
19846,leaf_12028,validation
19847,leaf_11314,validation
19848,leaf_19701,validation
19849,leaf_18442,validation
19850,leaf_11001,validation
19851,leaf_2959,validation
19852,leaf_5319,validation
19853,leaf_1232,validation
19854,leaf_20152,validation
19855,leaf_19525,validation
19856,leaf_3041,validation
19857,leaf_4763,validation
19858,leaf_3647,validation
19859,leaf_5758,validation
19860,leaf_14731,validation
19861,leaf_18594,validation
19862,leaf_4690,validation
19863,leaf_21592,validation
19864,leaf_10884,validation
19865,leaf_4433,validation
19866,leaf_2790,validation
19867,leaf_3699,validation
19868,leaf_12457,validation
19869,leaf_12279,validation
19870,leaf_1628,validation
19871,leaf_1323,validation
19872,leaf_15500,validation
19873,leaf_19591,validation
19874,leaf_14009,validation
19875,leaf_17754,validation
19876,leaf_10815,validation
19877,leaf_6846,validation
19878,leaf_19220,validation
19879,leaf_1353,validation
19880,leaf_8120,validation
19881,leaf_17,validation
19882,leaf_2268,validation
19883,leaf_1723,validation
19884,leaf_619,validation
19885,leaf_8550,validation
19886,leaf_13418,validation
19887,leaf_15243,validation
19888,leaf_14915,validation
19889,leaf_10536,validation
19890,leaf_21858,validation
19891,leaf_16401,validation
19892,leaf_17312,validation
19893,leaf_16863,validation
19894,leaf_13860,validation
19895,leaf_14631,validation
19896,leaf_3460,validation
19897,leaf_19506,validation
19898,leaf_3562,validation
19899,leaf_959,validation
19900,leaf_10124,validation
19901,leaf_2545,validation
19902,leaf_17234,validation
19903,leaf_12358,validation
19904,leaf_13983,validation
19905,leaf_20138,validation
19906,leaf_17103,validation
19907,leaf_3387,validation
19908,leaf_2051,validation
19909,leaf_1662,validation
19910,leaf_14014,validation
19911,leaf_4155,validation
19912,leaf_18808,validation
19913,leaf_17825,validation
19914,leaf_16581,validation
19915,leaf_19972,validation
19916,leaf_15422,validation
19917,leaf_10521,validation
19918,leaf_12179,validation
19919,leaf_1729,validation
19920,leaf_5414,validation
19921,leaf_8213,validation
19922,leaf_20455,validation
19923,leaf_10081,validation
19924,leaf_7172,validation
19925,leaf_19199,validation
19926,leaf_8390,validation
19927,leaf_9120,validation
19928,leaf_7757,validation
19929,leaf_4813,validation
19930,leaf_1008,validation
19931,leaf_6312,validation
19932,leaf_16137,validation
19933,leaf_725,validation
19934,leaf_6059,validation
19935,leaf_21184,validation
19936,leaf_9718,validation
19937,leaf_19512,validation
19938,leaf_22581,validation
19939,leaf_19252,validation
19940,leaf_21404,validation
19941,leaf_14299,validation
19942,leaf_16683,validation
19943,leaf_22524,validation
19944,leaf_7457,validation
19945,leaf_2258,validation
19946,leaf_8247,validation
19947,leaf_17753,validation
19948,leaf_17228,validation
19949,leaf_4364,validation
19950,leaf_11070,validation
19951,leaf_4385,validation
19952,leaf_19104,validation
19953,leaf_12317,validation
19954,leaf_17680,validation
19955,leaf_19257,validation
19956,leaf_17204,validation
19957,leaf_18138,validation
19958,leaf_1440,validation
19959,leaf_23091,validation
19960,leaf_5284,validation
19961,leaf_12348,validation
19962,leaf_6164,validation
19963,leaf_9557,validation
19964,leaf_21454,validation
19965,leaf_2826,validation
19966,leaf_1880,validation
19967,leaf_6847,validation
19968,leaf_18455,validation
19969,leaf_16360,validation
19970,leaf_21789,validation
19971,leaf_13331,validation
19972,leaf_5806,validation
19973,leaf_1469,validation
19974,leaf_9052,validation
19975,leaf_5318,validation
19976,leaf_6469,validation
19977,leaf_21798,validation
19978,leaf_560,validation
19979,leaf_21548,validation
19980,leaf_6539,validation
19981,leaf_18589,validation
19982,leaf_8481,validation
19983,leaf_757,validation
19984,leaf_22160,validation
19985,leaf_4892,validation
19986,leaf_8727,validation
19987,leaf_3853,validation
19988,leaf_11270,validation
19989,leaf_19578,validation
19990,leaf_1666,validation
19991,leaf_8099,validation
19992,leaf_11382,validation
19993,leaf_9530,validation
19994,leaf_1324,validation
19995,leaf_11971,validation
19996,leaf_9179,validation
19997,leaf_6795,validation
19998,leaf_1411,validation
19999,leaf_3997,validation
20000,leaf_18508,validation
20001,leaf_19807,validation
20002,leaf_7516,validation
20003,leaf_3478,validation
20004,leaf_22883,validation
20005,leaf_9139,validation
20006,leaf_5100,validation
20007,leaf_6604,validation
20008,leaf_3260,validation
20009,leaf_1032,validation
20010,leaf_21701,validation
20011,leaf_22386,validation
20012,leaf_1873,validation
20013,leaf_19610,validation
20014,leaf_21019,validation
20015,leaf_21595,validation
20016,leaf_8343,validation
20017,leaf_18028,validation
20018,leaf_18362,validation
20019,leaf_20900,validation
20020,leaf_6506,validation
20021,leaf_12175,validation
20022,leaf_12041,validation
20023,leaf_14472,validation
20024,leaf_17944,validation
20025,leaf_1650,validation
20026,leaf_6650,validation
20027,leaf_8359,validation
20028,leaf_14715,validation
20029,leaf_17537,validation
20030,leaf_10534,validation
20031,leaf_13110,validation
20032,leaf_17728,validation
20033,leaf_4643,validation
20034,leaf_5102,validation
20035,leaf_495,validation
20036,leaf_12872,validation
20037,leaf_2663,validation
20038,leaf_7333,validation
20039,leaf_10798,validation
20040,leaf_15550,validation
20041,leaf_18778,validation
20042,leaf_18461,validation
20043,leaf_6166,validation
20044,leaf_18467,validation
20045,leaf_10465,validation
20046,leaf_9304,validation
20047,leaf_3627,validation
20048,leaf_11334,validation
20049,leaf_20126,validation
20050,leaf_5488,validation
20051,leaf_21948,validation
20052,leaf_5162,validation
20053,leaf_11161,validation
20054,leaf_4234,validation
20055,leaf_4474,validation
20056,leaf_6598,validation
20057,leaf_776,validation
20058,leaf_12474,validation
20059,leaf_4572,validation
20060,leaf_15133,validation
20061,leaf_22948,validation
20062,leaf_16016,validation
20063,leaf_18189,validation
20064,leaf_8470,validation
20065,leaf_6037,validation
20066,leaf_7430,validation
20067,leaf_7356,validation
20068,leaf_402,validation
20069,leaf_839,validation
20070,leaf_16729,validation
20071,leaf_11982,validation
20072,leaf_19731,validation
20073,leaf_700,validation
20074,leaf_8456,validation
20075,leaf_6266,validation
20076,leaf_8236,validation
20077,leaf_9820,validation
20078,leaf_20526,validation
20079,leaf_12841,validation
20080,leaf_17996,validation
20081,leaf_14539,validation
20082,leaf_18800,validation
20083,leaf_11147,validation
20084,leaf_4933,validation
20085,leaf_17833,validation
20086,leaf_19012,validation
20087,leaf_9964,validation
20088,leaf_20320,validation
20089,leaf_20242,validation
20090,leaf_3906,validation
20091,leaf_15304,validation
20092,leaf_19289,validation
20093,leaf_2570,validation
20094,leaf_15287,validation
20095,leaf_17563,validation
20096,leaf_7189,validation
20097,leaf_17508,validation
20098,leaf_11106,validation
20099,leaf_12860,validation
20100,leaf_13453,validation
20101,leaf_19233,validation
20102,leaf_4731,validation
20103,leaf_19454,validation
20104,leaf_20984,validation
20105,leaf_15747,validation
20106,leaf_11443,validation
20107,leaf_12879,validation
20108,leaf_5375,validation
20109,leaf_18241,validation
20110,leaf_12067,validation
20111,leaf_2809,validation
20112,leaf_14027,validation
20113,leaf_8250,validation
20114,leaf_17123,validation
20115,leaf_11999,validation
20116,leaf_12002,validation
20117,leaf_8701,validation
20118,leaf_94,validation
20119,leaf_20676,validation
20120,leaf_12836,validation
20121,leaf_22942,validation
20122,leaf_14078,validation
20123,leaf_7764,validation
20124,leaf_6246,validation
20125,leaf_12108,validation
20126,leaf_12661,validation
20127,leaf_9015,validation
20128,leaf_23001,validation
20129,leaf_16460,validation
20130,leaf_7100,validation
20131,leaf_21056,validation
20132,leaf_19713,validation
20133,leaf_16317,validation
20134,leaf_16496,validation
20135,leaf_140,validation
20136,leaf_2104,validation
20137,leaf_10389,validation
20138,leaf_8730,validation
20139,leaf_5800,validation
20140,leaf_10310,validation
20141,leaf_3614,validation
20142,leaf_21260,validation
20143,leaf_14768,validation
20144,leaf_13022,validation
20145,leaf_78,validation
20146,leaf_2118,validation
20147,leaf_13388,validation
20148,leaf_1575,validation
20149,leaf_12464,validation
20150,leaf_321,validation
20151,leaf_20545,validation
20152,leaf_21657,validation
20153,leaf_6057,validation
20154,leaf_21301,validation
20155,leaf_16091,validation
20156,leaf_10786,validation
20157,leaf_3264,validation
20158,leaf_14414,validation
20159,leaf_9633,validation
20160,leaf_9707,validation
20161,leaf_22339,validation
20162,leaf_10201,validation
20163,leaf_6610,validation
20164,leaf_16490,validation
20165,leaf_12685,validation
20166,leaf_6336,validation
20167,leaf_6817,validation
20168,leaf_14777,validation
20169,leaf_3592,validation
20170,leaf_21241,validation
20171,leaf_1991,validation
20172,leaf_1737,validation
20173,leaf_674,validation
20174,leaf_20435,validation
20175,leaf_5044,validation
20176,leaf_17450,validation
20177,leaf_15003,validation
20178,leaf_17591,validation
20179,leaf_2856,validation
20180,leaf_7229,validation
20181,leaf_5510,validation
20182,leaf_4332,validation
20183,leaf_12049,validation
20184,leaf_20629,validation
20185,leaf_729,validation
20186,leaf_8852,validation
20187,leaf_3449,validation
20188,leaf_15392,validation
20189,leaf_15148,validation
20190,leaf_20587,validation
20191,leaf_3423,validation
20192,leaf_1450,validation
20193,leaf_16043,validation
20194,leaf_855,validation
20195,leaf_11410,validation
20196,leaf_1765,validation
20197,leaf_7830,validation
20198,leaf_2271,validation
20199,leaf_22494,validation
20200,leaf_15940,validation
20201,leaf_22466,validation
20202,leaf_15589,validation
20203,leaf_7915,validation
20204,leaf_14606,validation
20205,leaf_21979,validation
20206,leaf_7538,validation
20207,leaf_16847,validation
20208,leaf_7290,validation
20209,leaf_14895,validation
20210,leaf_990,validation
20211,leaf_15554,validation
20212,leaf_8753,validation
20213,leaf_13833,validation
20214,leaf_11917,validation
20215,leaf_10102,validation
20216,leaf_4218,validation
20217,leaf_16541,validation
20218,leaf_6306,validation
20219,leaf_7536,validation
20220,leaf_17834,validation
20221,leaf_17295,validation
20222,leaf_16404,validation
20223,leaf_19628,validation
20224,leaf_12070,validation
20225,leaf_20125,validation
20226,leaf_18852,validation
20227,leaf_9372,validation
20228,leaf_16335,validation
20229,leaf_4268,validation
20230,leaf_20480,validation
20231,leaf_550,validation
20232,leaf_4297,validation
20233,leaf_2986,validation
20234,leaf_20853,validation
20235,leaf_22923,validation
20236,leaf_12620,validation
20237,leaf_1176,validation
20238,leaf_3973,validation
20239,leaf_5393,validation
20240,leaf_4682,validation
20241,leaf_10881,validation
20242,leaf_21773,validation
20243,leaf_12795,validation
20244,leaf_18739,validation
20245,leaf_5164,validation
20246,leaf_16432,validation
20247,leaf_10916,validation
20248,leaf_8381,validation
20249,leaf_16341,validation
20250,leaf_17552,validation
20251,leaf_21928,validation
20252,leaf_2855,validation
20253,leaf_4795,validation
20254,leaf_4661,validation
20255,leaf_1037,validation
20256,leaf_11436,validation
20257,leaf_3107,validation
20258,leaf_20366,validation
20259,leaf_15146,validation
20260,leaf_6126,validation
20261,leaf_7995,validation
20262,leaf_7589,validation
20263,leaf_7071,validation
20264,leaf_4188,validation
20265,leaf_6844,validation
20266,leaf_20210,validation
20267,leaf_6148,validation
20268,leaf_10200,validation
20269,leaf_7583,validation
20270,leaf_16431,validation
20271,leaf_9438,validation
20272,leaf_12376,validation
20273,leaf_17708,validation
20274,leaf_11111,validation
20275,leaf_18456,validation
20276,leaf_4237,validation
20277,leaf_9597,validation
20278,leaf_10620,validation
20279,leaf_15660,validation
20280,leaf_13767,validation
20281,leaf_5268,validation
20282,leaf_22555,validation
20283,leaf_10953,validation
20284,leaf_10460,validation
20285,leaf_5163,validation
20286,leaf_19757,validation
20287,leaf_15132,validation
20288,leaf_9302,validation
20289,leaf_2506,validation
20290,leaf_12932,validation
20291,leaf_15684,validation
20292,leaf_5895,validation
20293,leaf_5731,validation
20294,leaf_11160,validation
20295,leaf_19672,validation
20296,leaf_10482,validation
20297,leaf_10103,validation
20298,leaf_4802,validation
20299,leaf_18234,validation
20300,leaf_22354,validation
20301,leaf_17540,validation
20302,leaf_20711,validation
20303,leaf_15480,validation
20304,leaf_3969,validation
20305,leaf_18499,validation
20306,leaf_3636,validation
20307,leaf_6525,validation
20308,leaf_20539,validation
20309,leaf_19463,validation
20310,leaf_10099,validation
20311,leaf_5715,validation
20312,leaf_7346,validation
20313,leaf_13618,validation
20314,leaf_21785,validation
20315,leaf_9989,validation
20316,leaf_7295,validation
20317,leaf_1365,validation
20318,leaf_3991,validation
20319,leaf_6670,validation
20320,leaf_16320,validation
20321,leaf_16464,validation
20322,leaf_3737,validation
20323,leaf_17902,validation
20324,leaf_15002,validation
20325,leaf_9754,validation
20326,leaf_16704,validation
20327,leaf_3364,validation
20328,leaf_13591,validation
20329,leaf_15690,validation
20330,leaf_19653,validation
20331,leaf_13644,validation
20332,leaf_16275,validation
20333,leaf_4416,validation
20334,leaf_22062,validation
20335,leaf_14440,validation
20336,leaf_21500,validation
20337,leaf_20771,validation
20338,leaf_11678,validation
20339,leaf_6646,validation
20340,leaf_10680,validation
20341,leaf_16487,validation
20342,leaf_7870,validation
20343,leaf_21601,validation
20344,leaf_19193,validation
20345,leaf_8786,validation
20346,leaf_19194,validation
20347,leaf_17762,validation
20348,leaf_2157,validation
20349,leaf_8057,validation
20350,leaf_20354,validation
20351,leaf_62,validation
20352,leaf_15468,validation
20353,leaf_6276,validation
20354,leaf_17827,validation
20355,leaf_11565,validation
20356,leaf_1959,validation
20357,leaf_13920,validation
20358,leaf_7087,validation
20359,leaf_7196,validation
20360,leaf_7234,validation
20361,leaf_8944,validation
20362,leaf_10685,validation
20363,leaf_20808,validation
20364,leaf_7524,validation
20365,leaf_603,validation
20366,leaf_10977,validation
20367,leaf_17088,validation
20368,leaf_21118,validation
20369,leaf_4321,validation
20370,leaf_17011,validation
20371,leaf_16748,validation
20372,leaf_18734,validation
20373,leaf_7594,validation
20374,leaf_11475,validation
20375,leaf_4770,validation
20376,leaf_21977,validation
20377,leaf_34,validation
20378,leaf_18659,validation
20379,leaf_7064,validation
20380,leaf_4541,validation
20381,leaf_11606,validation
20382,leaf_1948,validation
20383,leaf_14906,validation
20384,leaf_19487,validation
20385,leaf_18178,validation
20386,leaf_471,validation
20387,leaf_21604,validation
20388,leaf_8616,validation
20389,leaf_20077,validation
20390,leaf_185,validation
20391,leaf_8772,validation
20392,leaf_4544,validation
20393,leaf_14158,validation
20394,leaf_19882,validation
20395,leaf_2270,validation
20396,leaf_6763,validation
20397,leaf_18789,validation
20398,leaf_22686,validation
20399,leaf_9007,validation
20400,leaf_20027,validation
20401,leaf_14763,validation
20402,leaf_21153,validation
20403,leaf_9924,validation
20404,leaf_20370,validation
20405,leaf_22326,validation
20406,leaf_3270,validation
20407,leaf_17467,validation
20408,leaf_20500,validation
20409,leaf_3058,validation
20410,leaf_3511,validation
20411,leaf_20828,validation
20412,leaf_13869,validation
20413,leaf_1484,validation
20414,leaf_10352,validation
20415,leaf_6016,validation
20416,leaf_9336,validation
20417,leaf_11749,validation
20418,leaf_15548,validation
20419,leaf_5418,validation
20420,leaf_16841,validation
20421,leaf_7587,validation
20422,leaf_22587,validation
20423,leaf_6028,validation
20424,leaf_3273,validation
20425,leaf_9527,validation
20426,leaf_8663,validation
20427,leaf_16966,validation
20428,leaf_10305,validation
20429,leaf_12792,validation
20430,leaf_9422,validation
20431,leaf_21504,validation
20432,leaf_4044,validation
20433,leaf_16885,validation
20434,leaf_4251,validation
20435,leaf_13350,validation
20436,leaf_15248,validation
20437,leaf_143,validation
20438,leaf_6050,validation
20439,leaf_17745,validation
20440,leaf_19943,validation
20441,leaf_18415,validation
20442,leaf_21315,validation
20443,leaf_11860,validation
20444,leaf_6520,validation
20445,leaf_3407,validation
20446,leaf_20476,validation
20447,leaf_15044,validation
20448,leaf_17956,validation
20449,leaf_13802,validation
20450,leaf_13632,validation
20451,leaf_18353,validation
20452,leaf_644,validation
20453,leaf_7363,validation
20454,leaf_14135,validation
20455,leaf_21711,validation
20456,leaf_1700,validation
20457,leaf_19780,validation
20458,leaf_15310,validation
20459,leaf_9360,validation
20460,leaf_9669,validation
20461,leaf_21529,validation
20462,leaf_11566,validation
20463,leaf_9462,validation
20464,leaf_1671,validation
20465,leaf_2326,validation
20466,leaf_15252,validation
20467,leaf_5993,validation
20468,leaf_13467,validation
20469,leaf_3596,validation
20470,leaf_12976,validation
20471,leaf_22436,validation
20472,leaf_14754,validation
20473,leaf_15370,validation
20474,leaf_842,validation
20475,leaf_17140,validation
20476,leaf_19584,validation
20477,leaf_1087,validation
20478,leaf_14187,validation
20479,leaf_1012,validation
20480,leaf_10216,validation
20481,leaf_4276,validation
20482,leaf_20234,validation
20483,leaf_531,validation
20484,leaf_7283,validation
20485,leaf_17468,validation
20486,leaf_8593,validation
20487,leaf_16190,validation
20488,leaf_7057,validation
20489,leaf_22507,validation
20490,leaf_4446,validation
20491,leaf_11378,validation
20492,leaf_17411,validation
20493,leaf_15818,validation
20494,leaf_20649,validation
20495,leaf_12372,validation
20496,leaf_21760,validation
20497,leaf_13115,validation
20498,leaf_11505,validation
20499,leaf_1265,validation
20500,leaf_12225,validation
20501,leaf_17385,validation
20502,leaf_9655,validation
20503,leaf_10116,validation
20504,leaf_10711,validation
20505,leaf_2217,validation
20506,leaf_8355,validation
20507,leaf_3459,validation
20508,leaf_8235,validation
20509,leaf_10439,validation
20510,leaf_5072,validation
20511,leaf_11528,validation
20512,leaf_18397,validation
20513,leaf_19985,validation
20514,leaf_16087,validation
20515,leaf_18331,validation
20516,leaf_752,validation
20517,leaf_21042,validation
20518,leaf_3232,validation
20519,leaf_8832,validation
20520,leaf_14540,validation
20521,leaf_13399,validation
20522,leaf_9388,validation
20523,leaf_6474,validation
20524,leaf_22891,validation
20525,leaf_16614,validation
20526,leaf_2057,validation
20527,leaf_9504,validation
20528,leaf_1606,validation
20529,leaf_5636,validation
20530,leaf_8133,validation
20531,leaf_14290,validation
20532,leaf_8720,validation
20533,leaf_21258,validation
20534,leaf_17478,validation
20535,leaf_21451,validation
20536,leaf_7055,validation
20537,leaf_18141,validation
20538,leaf_5945,validation
20539,leaf_3639,validation
20540,leaf_4134,validation
20541,leaf_16450,validation
20542,leaf_2730,validation
20543,leaf_9313,validation
20544,leaf_11132,validation
20545,leaf_8410,validation
20546,leaf_22159,validation
20547,leaf_17266,validation
20548,leaf_21598,validation
20549,leaf_15834,validation
20550,leaf_1438,validation
20551,leaf_1968,validation
20552,leaf_19372,validation
20553,leaf_9865,validation
20554,leaf_1832,validation
20555,leaf_15475,validation
20556,leaf_14315,validation
20557,leaf_11583,validation
20558,leaf_9810,validation
20559,leaf_15721,validation
20560,leaf_13267,validation
20561,leaf_20961,validation
20562,leaf_9159,validation
20563,leaf_13248,validation
20564,leaf_21731,validation
20565,leaf_7968,validation
20566,leaf_17272,validation
20567,leaf_17399,validation
20568,leaf_10848,validation
20569,leaf_15460,validation
20570,leaf_5240,validation
20571,leaf_7680,validation
20572,leaf_21064,validation
20573,leaf_12289,validation
20574,leaf_22949,validation
20575,leaf_11373,validation
20576,leaf_19771,validation
20577,leaf_1496,validation
20578,leaf_16894,validation
20579,leaf_7416,validation
20580,leaf_3922,validation
20581,leaf_3964,validation
20582,leaf_7691,validation
20583,leaf_20047,validation
20584,leaf_10767,validation
20585,leaf_8326,validation
20586,leaf_6894,validation
20587,leaf_8640,validation
20588,leaf_16484,validation
20589,leaf_7660,validation
20590,leaf_19310,validation
20591,leaf_282,validation
20592,leaf_21783,validation
20593,leaf_18391,validation
20594,leaf_1188,validation
20595,leaf_1273,validation
20596,leaf_337,validation
20597,leaf_4038,validation
20598,leaf_12964,validation
20599,leaf_4233,validation
20600,leaf_1133,validation
20601,leaf_20082,validation
20602,leaf_20228,validation
20603,leaf_10320,validation
20604,leaf_13382,validation
20605,leaf_5303,validation
20606,leaf_18865,validation
20607,leaf_2816,validation
20608,leaf_9588,validation
20609,leaf_10940,validation
20610,leaf_4757,validation
20611,leaf_19246,validation
20612,leaf_13441,validation
20613,leaf_7468,validation
20614,leaf_19328,validation
20615,leaf_3760,validation
20616,leaf_13155,validation
20617,leaf_16915,validation
20618,leaf_13590,validation
20619,leaf_8329,validation
20620,leaf_14659,validation
20621,leaf_887,validation
20622,leaf_6649,validation
20623,leaf_18216,validation
20624,leaf_20424,validation
20625,leaf_17421,validation
20626,leaf_5361,validation
20627,leaf_5575,validation
20628,leaf_22744,validation
20629,leaf_18433,validation
20630,leaf_1154,validation
20631,leaf_1739,validation
20632,leaf_3002,validation
20633,leaf_7962,validation
20634,leaf_17790,validation
20635,leaf_21096,validation
20636,leaf_9773,validation
20637,leaf_21300,validation
20638,leaf_20468,validation
20639,leaf_19579,validation
20640,leaf_13093,validation
20641,leaf_16444,validation
20642,leaf_15069,validation
20643,leaf_22303,validation
20644,leaf_19696,validation
20645,leaf_21764,validation
20646,leaf_5822,validation
20647,leaf_3779,validation
20648,leaf_6406,validation
20649,leaf_14764,validation
20650,leaf_14844,validation
20651,leaf_21256,validation
20652,leaf_15506,validation
20653,leaf_606,validation
20654,leaf_18627,validation
20655,leaf_11769,validation
20656,leaf_8985,validation
20657,leaf_14403,validation
20658,leaf_5862,validation
20659,leaf_22431,validation
20660,leaf_16407,validation
20661,leaf_4885,validation
20662,leaf_21312,validation
20663,leaf_13824,validation
20664,leaf_9526,validation
20665,leaf_9207,validation
20666,leaf_21177,validation
20667,leaf_1579,validation
20668,leaf_15862,validation
20669,leaf_7080,validation
20670,leaf_6825,validation
20671,leaf_661,validation
20672,leaf_17334,validation
20673,leaf_7905,validation
20674,leaf_2547,validation
20675,leaf_15266,validation
20676,leaf_125,validation
20677,leaf_2489,validation
20678,leaf_15199,validation
20679,leaf_2061,validation
20680,leaf_10733,validation
20681,leaf_19061,validation
20682,leaf_17024,validation
20683,leaf_2300,validation
20684,leaf_12014,validation
20685,leaf_10925,validation
20686,leaf_3967,validation
20687,leaf_19878,validation
20688,leaf_7520,validation
20689,leaf_15807,validation
20690,leaf_10468,validation
20691,leaf_948,validation
20692,leaf_5137,validation
20693,leaf_7193,validation
20694,leaf_14602,validation
20695,leaf_21597,validation
20696,leaf_6558,validation
20697,leaf_943,validation
20698,leaf_17969,validation
20699,leaf_8,validation
20700,leaf_15706,validation
20701,leaf_19406,validation
20702,leaf_10392,validation
20703,leaf_11889,validation
20704,leaf_16032,validation
20705,leaf_4675,validation
20706,leaf_3163,validation
20707,leaf_9641,validation
20708,leaf_1503,validation
20709,leaf_9956,validation
20710,leaf_10122,validation
20711,leaf_3851,validation
20712,leaf_18622,validation
20713,leaf_19623,validation
20714,leaf_20280,validation
20715,leaf_22199,validation
20716,leaf_21398,validation
20717,leaf_20052,validation
20718,leaf_15097,validation
20719,leaf_7505,validation
20720,leaf_15126,validation
20721,leaf_16996,validation
20722,leaf_9977,validation
20723,leaf_3187,validation
20724,leaf_2862,validation
20725,leaf_4039,validation
20726,leaf_1240,validation
20727,leaf_13639,validation
20728,leaf_17030,validation
20729,leaf_9927,validation
20730,leaf_3911,validation
20731,leaf_20215,validation
20732,leaf_13699,validation
20733,leaf_18577,validation
20734,leaf_15751,validation
20735,leaf_20289,validation
20736,leaf_4271,validation
